                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.8551,                 1.1696,                 1.5959,                0.72411,                0.71146,                0.71709,                0.35283,                 1.8068,                 1.1271,                 1.7006,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.8744,                 1.2085,                  1.615,                0.71865,                0.71059,                0.71526,                0.34998,                 1.8263,                 1.1212,                 1.7094,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.8686,                 1.1887,                 1.5956,                0.69327,                 0.7242,                0.70943,                0.33208,                  1.891,                 1.1471,                 1.7378,               0.000812,               0.000812,               0.000812
                     63,                 1.8598,                 1.1894,                 1.5997,                0.69039,                0.72351,                0.70723,                0.34387,                 1.8089,                 1.1775,                 1.6932,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.8455,                 1.1749,                 1.5787,                0.72603,                0.71059,                0.71832,                0.34231,                 1.8782,                 1.1244,                 1.7314,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.8652,                 1.1721,                 1.5875,                0.71676,                0.72438,                0.72227,                0.34113,                 1.8544,                 1.1892,                 1.7152,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.8586,                   1.17,                 1.5894,                0.72326,                0.72782,                0.73265,                0.35368,                 1.8319,                 1.1047,                 1.6994,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.8511,                 1.1867,                 1.5824,                0.72368,                0.72179,                0.72132,                0.35411,                 1.7955,                 1.1177,                 1.6734,               0.000713,               0.000713,               0.000713
                     68,                 1.8422,                 1.1937,                 1.6033,                0.74119,                0.71576,                 0.7285,                0.36215,                 1.7626,                 1.1031,                 1.6625,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.8517,                 1.1713,                 1.5973,                0.73547,                0.71921,                0.72036,                 0.3521,                 1.8041,                 1.1059,                 1.6887,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.8466,                 1.1535,                 1.5821,                0.72347,                0.71435,                0.72557,                0.35507,                 1.7987,                 1.1086,                 1.6829,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.8323,                  1.159,                 1.5701,                0.73518,                0.71232,                0.73568,                0.36475,                 1.7952,                 1.0935,                 1.6802,              0.0006338,              0.0006338,              0.0006338
                     72,                  1.848,                 1.1799,                 1.5765,                 0.7432,                 0.7304,                0.73631,                0.36439,                 1.7643,                  1.104,                 1.6703,               0.000614,               0.000614,               0.000614
                     73,                 1.8421,                 1.1776,                 1.5871,                0.70339,                0.69857,                0.71261,                0.34752,                 1.8132,                 1.1195,                 1.6831,              0.0005942,              0.0005942,              0.0005942
                     74,                  1.834,                 1.1584,                 1.5914,                0.73374,                0.73471,                0.73786,                0.36805,                 1.7759,                 1.0873,                 1.6678,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.8228,                 1.1611,                 1.5702,                0.73134,                0.71146,                0.71632,                0.34587,                 1.8361,                 1.1315,                 1.6993,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.8473,                 1.1624,                 1.5794,                0.73269,                0.72696,                0.72846,                0.35463,                  1.819,                 1.1025,                 1.6844,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.8261,                 1.1569,                 1.5729,                0.73375,                0.71923,                0.72637,                0.35817,                 1.8001,                 1.0955,                 1.6775,               0.000515,               0.000515,               0.000515
                     78,                 1.8302,                 1.1499,                 1.5736,                0.72248,                0.73643,                 0.7339,                0.35517,                 1.7883,                 1.1022,                 1.6749,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.8258,                 1.1652,                 1.5636,                0.73726,                0.72351,                0.73658,                0.35914,                  1.792,                 1.1174,                 1.6758,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.8126,                 1.1464,                 1.5764,                 0.7467,                0.72351,                0.73904,                0.36113,                 1.8226,                 1.1051,                 1.6933,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.8192,                 1.1632,                  1.569,                0.72779,                0.73385,                 0.7327,                0.35914,                 1.7871,                 1.0846,                 1.6685,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.8075,                 1.1368,                 1.5598,                 0.7236,                0.71576,                0.72192,                0.34497,                  1.836,                  1.108,                  1.695,               0.000416,               0.000416,               0.000416
                     83,                 1.8115,                 1.1454,                 1.5639,                0.71884,                0.72011,                0.73062,                0.35405,                 1.8105,                 1.0842,                  1.683,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.8307,                 1.1466,                 1.5741,                0.74637,                0.72998,                0.74105,                0.37143,                 1.7554,                 1.0794,                 1.6473,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.819,                 1.1402,                 1.5619,                0.72882,                0.72438,                0.73656,                0.35675,                 1.8059,                 1.0897,                 1.6787,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.8096,                 1.1342,                 1.5524,                0.73481,                0.72007,                 0.7386,                0.37058,                 1.7542,                  1.062,                 1.6504,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.8001,                 1.1271,                 1.5464,                0.72688,                0.73213,                0.73746,                0.36324,                 1.7971,                 1.0663,                 1.6698,               0.000317,               0.000317,               0.000317
                     88,                 1.8034,                 1.1222,                  1.546,                0.72886,                0.73166,                0.73917,                0.36554,                 1.7804,                 1.0935,                 1.6609,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.8153,                  1.137,                 1.5551,                0.74273,                0.72351,                0.73834,                0.36619,                 1.7892,                 1.0765,                 1.6642,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.7933,                 1.1417,                 1.5386,                0.73679,                0.74849,                0.74473,                0.36968,                 1.7684,                 1.0744,                 1.6554,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.7956,                 1.1802,                 1.6252,                0.70766,                 0.7373,                0.73055,                0.35174,                 1.8105,                 1.0989,                 1.6838,              0.0002378,              0.0002378,              0.0002378
                     92,                  1.774,                 1.1469,                 1.6035,                0.72906,                0.72265,                0.73637,                0.36339,                 1.7944,                 1.0775,                 1.6703,               0.000218,               0.000218,               0.000218
                     93,                 1.7549,                 1.1213,                 1.6184,                0.73961,                0.72906,                0.74882,                0.36448,                 1.7998,                 1.0773,                 1.6745,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.7569,                 1.1221,                 1.6062,                 0.7437,                0.73471,                0.74939,                0.36448,                 1.7982,                 1.0898,                 1.6732,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.7337,                 1.0902,                 1.5917,                0.73952,                0.72524,                0.74499,                 0.3634,                 1.7994,                 1.0649,                 1.6712,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.7463,                 1.1036,                 1.6014,                0.73375,                0.74591,                0.75132,                0.37141,                  1.777,                 1.0536,                 1.6619,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.7375,                 1.1091,                 1.5975,                0.74098,                0.73816,                0.75717,                0.37274,                 1.7788,                 1.0567,                 1.6625,               0.000119,               0.000119,               0.000119
                     98,                 1.7485,                 1.0923,                  1.611,                 0.7388,                0.74246,                0.75363,                0.37135,                 1.7796,                 1.0506,                 1.6612,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.7458,                 1.1082,                 1.6041,                0.74223,                0.75146,                0.75464,                0.36922,                 1.7935,                 1.0505,                 1.6693,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.7329,                 1.0956,                 1.5911,                0.73921,                0.74505,                0.75134,                0.37032,                  1.788,                 1.0437,                 1.6656,               5.96e-05,               5.96e-05,               5.96e-05
